student_id,academic_year,year,department
rp260,2015 - 2016,1,BIOL
cm953,2015 - 2016,1,EDUC
jh832,2015 - 2016,1,BIOL
jb402,2015 - 2016,1,ENGL
jm517,2015 - 2016,1,ENGL
se546,2015 - 2016,1,EEGS
sw519,2015 - 2016,1,RMLL
rg996,2015 - 2016,1,ARTS
ja122,2015 - 2016,1,EEGS
nc637,2015 - 2016,1,EALL
ts657,2015 - 2016,1,WRIT
mh799,2015 - 2016,1,ENGL
jh101,2015 - 2016,1,ENST
km907,2015 - 2016,1,HIST
hj568,2015 - 2016,1,PHIL
tw366,2015 - 2016,1,MELL
et219,2015 - 2016,1,PBSC
dr210,2015 - 2016,1,ENST
bo663,2015 - 2016,1,ENGL
mb194,2015 - 2016,1,WRIT
cm229,2015 - 2016,1,RELG
ww264,2015 - 2016,1,PHAS
jw534,2015 - 2016,1,ECON
ra715,2015 - 2016,1,HIST
jw565,2015 - 2016,1,PHAS
ca626,2015 - 2016,1,POSC
kh809,2015 - 2016,1,THEA
am711,2015 - 2016,1,RELG
th739,2015 - 2016,1,WRIT
dg577,2015 - 2016,1,GEOG
jh908,2015 - 2016,1,PHAS
st131,2015 - 2016,1,MATH
sm247,2015 - 2016,1,MATH
tm754,2015 - 2016,1,ENGL
dj332,2015 - 2016,1,EALL
js879,2015 - 2016,1,BIOL
ms732,2015 - 2016,1,ENGL
df779,2015 - 2016,1,BIOL
tk401,2015 - 2016,1,POSC
bb287,2015 - 2016,1,CLAS
mb868,2015 - 2016,1,ENGL
mp856,2015 - 2016,1,RMLL
jc965,2015 - 2016,1,POSC
jg278,2015 - 2016,1,HIST
nh368,2015 - 2016,1,POSC
dm655,2015 - 2016,1,COSC
at279,2015 - 2016,1,ARTS
lj884,2015 - 2016,1,CHEM
sl368,2015 - 2016,1,ENGL
sp602,2015 - 2016,1,HIST
jl306,2015 - 2016,1,ENGL
bm327,2015 - 2016,1,EDUC
cl284,2015 - 2016,1,WRIT
am177,2015 - 2016,1,EDUC
tc802,2015 - 2016,1,EDUC
dg734,2015 - 2016,1,ARTS
ms567,2015 - 2016,1,POSC
rf946,2015 - 2016,1,ENGL
vj442,2015 - 2016,1,PHAS
sp929,2015 - 2016,1,RMLL
sr201,2015 - 2016,1,POSC
bf927,2015 - 2016,1,ENGL
eg339,2015 - 2016,1,ENGL
jr705,2015 - 2016,1,MATH
sf362,2015 - 2016,1,HIST
gm956,2015 - 2016,1,MATH
wb989,2015 - 2016,1,ARTS
do546,2015 - 2016,1,MATH
cm104,2015 - 2016,1,RELG
bl626,2015 - 2016,1,ECON
md151,2015 - 2016,1,EDUC
mc713,2015 - 2016,1,ARTS
dd996,2015 - 2016,1,COSC
lh366,2015 - 2016,1,GEOG
hb448,2015 - 2016,1,BIOL
rg938,2015 - 2016,1,POSC
dd921,2015 - 2016,1,ENST
cs792,2015 - 2016,1,RMLL
jm778,2015 - 2016,1,MATH
tw350,2015 - 2016,1,POSC
dw413,2015 - 2016,1,PHIL
ac383,2015 - 2016,1,ARTS
cw731,2015 - 2016,1,RMLL
js295,2015 - 2016,1,PBSC
df960,2015 - 2016,1,PBSC
kh110,2015 - 2016,1,SOAN
jc221,2015 - 2016,1,ENGL
mw707,2015 - 2016,1,MATH
wr124,2015 - 2016,1,HIST
jr496,2015 - 2016,1,GEOG
dr416,2015 - 2016,1,HIST
hh208,2015 - 2016,1,BIOL
lr202,2015 - 2016,1,ECON
rp631,2015 - 2016,1,MATH
ts469,2015 - 2016,1,ARTS
mm616,2015 - 2016,1,GEOG
jr953,2015 - 2016,1,POSC
aj141,2015 - 2016,1,THEA
sr366,2015 - 2016,1,EDUC
gh922,2015 - 2016,1,ECON
ma442,2015 - 2016,1,SOAN
ec770,2015 - 2016,1,ECON
kr123,2015 - 2016,1,WRIT
mb982,2015 - 2016,1,ARTS
jg632,2015 - 2016,1,ENST
bw169,2015 - 2016,1,HIST
cf657,2015 - 2016,1,EDUC
nc963,2015 - 2016,1,PBSC
jo584,2015 - 2016,1,ECON
ds260,2015 - 2016,1,CLAS
jg224,2015 - 2016,1,SOAN
jf866,2015 - 2016,1,SOAN
kv372,2015 - 2016,1,THEA
js445,2015 - 2016,1,ENGL
gf306,2015 - 2016,1,BIOL
mb599,2015 - 2016,1,BIOL
jp112,2015 - 2016,1,EDUC
eh559,2015 - 2016,1,GEOG
sl197,2015 - 2016,1,ECON
jk385,2015 - 2016,1,CLAS
sp598,2015 - 2016,1,BIOL
ha306,2015 - 2016,1,ARTS
wt204,2015 - 2016,1,EDUC
db894,2015 - 2016,1,ENGL
ad526,2015 - 2016,1,COSC
ka655,2015 - 2016,1,EALL
bf397,2015 - 2016,1,PBSC
kb282,2015 - 2016,1,RELG
jr206,2015 - 2016,1,ENGL
ep742,2015 - 2016,1,SOAN
jj467,2015 - 2016,1,COSC
ab215,2015 - 2016,1,GEOG
ll290,2015 - 2016,1,POSC
sg257,2015 - 2016,1,RELG
lh789,2015 - 2016,1,MATH
lt449,2015 - 2016,1,EDUC
jb594,2015 - 2016,1,SOAN
ms921,2015 - 2016,1,BIOL
js523,2015 - 2016,1,GERM
vo774,2015 - 2016,1,ENST
lc347,2015 - 2016,1,MUSI
nn121,2015 - 2016,1,SOAN
js535,2015 - 2016,1,HIST
js770,2015 - 2016,1,PHAS
nr782,2015 - 2016,1,THEA
ml304,2015 - 2016,1,ENGL
jj877,2015 - 2016,1,ARTS
jl182,2015 - 2016,1,EDUC
mh948,2015 - 2016,1,ENGL
ac665,2015 - 2016,1,COSC
nw764,2015 - 2016,1,CHEM
ph420,2015 - 2016,1,PBSC
sc859,2015 - 2016,1,ECON
dk149,2015 - 2016,1,ECON
at835,2015 - 2016,1,EDUC
bs207,2015 - 2016,1,COSC
ma819,2015 - 2016,1,PHAS
sg641,2015 - 2016,1,ENGL
sw140,2015 - 2016,1,ENGL
ds236,2015 - 2016,1,EEGS
kb343,2015 - 2016,1,ARTS
jh911,2015 - 2016,1,RMLL
bm490,2015 - 2016,1,RELG
ts955,2015 - 2016,1,EALL
wh427,2015 - 2016,1,MATH
sw698,2015 - 2016,1,COSC
mf897,2015 - 2016,1,GERM
mh718,2015 - 2016,1,POSC
tb480,2015 - 2016,1,EALL
ld635,2015 - 2016,1,SOAN
vo986,2015 - 2016,1,ECON
rm784,2015 - 2016,1,BIOL
cs323,2015 - 2016,1,GERM
sb417,2015 - 2016,1,ARTS
ns509,2015 - 2016,1,PBSC
dm797,2015 - 2016,1,EDUC
sb901,2015 - 2016,1,MATH
ae876,2015 - 2016,1,PBSC
sg895,2015 - 2016,1,MELL
mp762,2015 - 2016,1,ENGL
rs309,2015 - 2016,1,CHEM
jl464,2015 - 2016,1,POSC
ab290,2015 - 2016,1,BIOL
tr524,2015 - 2016,1,POSC
ch796,2015 - 2016,1,EDUC
bm233,2015 - 2016,1,CLAS
rs443,2015 - 2016,1,COSC
sb650,2015 - 2016,1,ARTS
zc813,2015 - 2016,1,ECON
ao565,2015 - 2016,1,THEA
jj193,2015 - 2016,1,SOAN
ih884,2015 - 2016,1,RMLL
rc409,2015 - 2016,1,RMLL
am883,2015 - 2016,1,PBSC
ma282,2015 - 2016,1,RMLL
rp212,2015 - 2016,1,CLAS
dc602,2015 - 2016,1,COSC
bm838,2015 - 2016,1,THEA
ar120,2015 - 2016,1,WRIT
ng875,2015 - 2016,1,THEA
jj811,2015 - 2016,1,BIOL
md621,2015 - 2016,1,RMLL
fw206,2015 - 2016,1,HIST
ca412,2015 - 2016,1,BIOL
kh258,2015 - 2016,1,ENST
cb731,2015 - 2016,1,PBSC
sj594,2015 - 2016,1,ECON
jl927,2015 - 2016,1,ENGL
mp635,2015 - 2016,1,POSC
bs786,2015 - 2016,1,POSC
mh549,2015 - 2016,1,ENGL
tw520,2015 - 2016,1,HIST
bm112,2015 - 2016,1,MELL
sf108,2015 - 2016,1,HIST
wh709,2015 - 2016,1,POSC
ls909,2015 - 2016,1,ENGL
my973,2015 - 2016,1,HIST
as741,2015 - 2016,1,SOAN
dr163,2015 - 2016,1,ENGL
dl967,2015 - 2016,1,HIST
am769,2015 - 2016,1,MUSI
km824,2015 - 2016,1,MUSI
cr343,2015 - 2016,1,RMLL
js952,2015 - 2016,1,HIST
dg434,2015 - 2016,1,ENGL
kh812,2015 - 2016,1,HIST
km945,2015 - 2016,1,EDUC
mp637,2015 - 2016,1,EDUC
al618,2015 - 2016,1,PBSC
wl347,2015 - 2016,1,BIOL
vj523,2015 - 2016,1,ENGL
ak833,2015 - 2016,1,ARTS
sl299,2015 - 2016,1,RELG
ht502,2015 - 2016,1,RMLL
js682,2015 - 2016,1,RELG
ss966,2015 - 2016,1,EDUC
ab833,2015 - 2016,1,RMLL
sj837,2015 - 2016,1,PHIL
mw479,2015 - 2016,1,RELG
cw964,2015 - 2016,1,ARTS
dl145,2015 - 2016,1,BIOL
dh815,2015 - 2016,1,PHAS
km764,2015 - 2016,1,MATH
jd277,2015 - 2016,1,HIST
ew747,2015 - 2016,1,GEOG
hn213,2015 - 2016,1,GEOG
km347,2015 - 2016,1,EDUC
jc706,2015 - 2016,1,BIOL
ik716,2015 - 2016,1,MATH
cy440,2015 - 2016,1,RMLL
js116,2015 - 2016,1,POSC
sw849,2015 - 2016,1,ENGL
bh744,2015 - 2016,1,HIST
jm587,2015 - 2016,1,ENST
es850,2015 - 2016,1,ARTS
tj316,2015 - 2016,1,ENGL
tw174,2015 - 2016,1,CLAS
mh945,2015 - 2016,1,PHAS
kr618,2015 - 2016,1,ARTS
rb768,2015 - 2016,1,BIOL
dh596,2015 - 2016,1,ENGL
kb431,2015 - 2016,1,ARTS
jd239,2015 - 2016,1,BIOL
ay882,2015 - 2016,1,POSC
td205,2015 - 2016,1,GEOG
ew375,2015 - 2016,1,RELG
ch336,2015 - 2016,1,HIST
jg829,2015 - 2016,1,RELG
kf506,2015 - 2016,1,SOAN
bn668,2015 - 2016,1,HIST
am924,2015 - 2016,1,RELG
kp690,2015 - 2016,1,ARTS
ja738,2015 - 2016,1,WRIT
sf802,2015 - 2016,1,GEOG
pc892,2015 - 2016,1,ARTS
pm833,2015 - 2016,1,MELL
gp230,2015 - 2016,1,PHIL
gl412,2015 - 2016,1,CLAS
bb534,2015 - 2016,1,PBSC
nc505,2015 - 2016,1,EDUC
jj821,2015 - 2016,1,COSC
jm785,2015 - 2016,1,ENGL
ag734,2015 - 2016,1,RMLL
ah137,2015 - 2016,1,ENGL
pd241,2015 - 2016,1,SOAN
ef904,2015 - 2016,1,RMLL
jj319,2015 - 2016,1,EDUC
cc918,2015 - 2016,1,PBSC
ma254,2015 - 2016,1,ECON
es637,2015 - 2016,1,HIST
jp924,2015 - 2016,1,SOAN
aj298,2015 - 2016,1,ENST
pd725,2015 - 2016,1,THEA
rt191,2015 - 2016,1,SOAN
mw173,2015 - 2016,1,GEOG
sw154,2015 - 2016,1,CHEM
gc151,2015 - 2016,1,HIST
kh226,2015 - 2016,1,ECON
tf943,2015 - 2016,1,SOAN
vs295,2015 - 2016,1,RMLL
jc251,2015 - 2016,1,GERM
wv761,2015 - 2016,1,MUSI
re891,2015 - 2016,1,EEGS
bb726,2015 - 2016,1,BIOL
rr142,2015 - 2016,1,ARTS
kb717,2015 - 2016,1,PHIL
jw690,2015 - 2016,1,GERM
st820,2015 - 2016,1,EEGS
js362,2015 - 2016,1,HIST
df766,2015 - 2016,1,RMLL
mt191,2015 - 2016,1,SOAN
cm878,2015 - 2016,1,RMLL
cw387,2015 - 2016,1,CLAS
jy295,2015 - 2016,1,EDUC
mb442,2015 - 2016,1,HIST
am271,2015 - 2016,1,PHIL
dr805,2015 - 2016,1,RMLL
cp969,2015 - 2016,1,HIST
mt394,2015 - 2016,1,RMLL
sm257,2015 - 2016,1,PHIL
cm176,2015 - 2016,1,BIOL
dm671,2015 - 2016,1,ARTS
kh344,2015 - 2016,1,RMLL
am376,2015 - 2016,1,ECON
st995,2015 - 2016,1,HIST
ar610,2015 - 2016,1,CLAS
ts276,2015 - 2016,1,ARTS
sa236,2015 - 2016,1,ENGL
mw623,2015 - 2016,1,GEOG
mj595,2015 - 2016,1,EALL
av912,2015 - 2016,1,CHEM
tr215,2015 - 2016,1,HIST
kl999,2015 - 2016,1,PHIL
ek614,2015 - 2016,1,SOAN
mm198,2015 - 2016,1,EEGS
ha153,2015 - 2016,1,THEA
am842,2015 - 2016,1,BIOL
rw621,2015 - 2016,1,PBSC
kl443,2015 - 2016,1,CHEM
fm433,2015 - 2016,1,COSC
mf726,2015 - 2016,1,RMLL
eb405,2015 - 2016,1,HIST
br199,2015 - 2016,1,THEA
cb231,2015 - 2016,1,PHAS
mm820,2015 - 2016,1,HIST
tj106,2015 - 2016,1,POSC
tp636,2015 - 2016,1,PBSC
ct464,2015 - 2016,1,ARTS
da503,2015 - 2016,1,HIST
kb590,2015 - 2016,1,SOAN
sm756,2015 - 2016,1,SOAN
mo261,2015 - 2016,1,SOAN
st554,2015 - 2016,1,BIOL
dw914,2015 - 2016,1,ARTS
gr741,2015 - 2016,1,EALL
pr965,2015 - 2016,1,HIST
ch347,2015 - 2016,1,HIST
jb905,2015 - 2016,1,ENST
jw485,2015 - 2016,1,GEOG
tw278,2015 - 2016,1,EEGS
vs332,2015 - 2016,1,GEOG
dl728,2015 - 2016,1,EALL
bw293,2015 - 2016,1,ARTS
jl390,2015 - 2016,1,GERM
ra680,2015 - 2016,1,GEOG
jf742,2015 - 2016,1,EALL
gy622,2015 - 2016,1,EDUC
jr956,2015 - 2016,1,BIOL
mm105,2015 - 2016,1,RELG
jh174,2015 - 2016,1,HIST
mg487,2015 - 2016,1,BIOL
cw925,2015 - 2016,1,PBSC
ks479,2015 - 2016,1,HIST
mw800,2015 - 2016,1,PHAS
mj922,2015 - 2016,1,WRIT
tr229,2015 - 2016,1,MUSI
mr295,2015 - 2016,1,ENGL
al772,2015 - 2016,1,SOAN
kb942,2015 - 2016,1,COSC
mr608,2015 - 2016,1,ENGL
ka909,2015 - 2016,1,MATH
df309,2015 - 2016,1,HIST
my715,2015 - 2016,1,SOAN
aw182,2015 - 2016,1,RELG
kh363,2015 - 2016,1,HIST
ns155,2015 - 2016,1,MUSI
aw961,2015 - 2016,1,THEA
ab246,2015 - 2016,1,GERM
aw551,2015 - 2016,1,ARTS
rp199,2015 - 2016,1,PBSC
sl544,2015 - 2016,1,GEOG
jb542,2015 - 2016,1,GEOG
cm266,2015 - 2016,1,HIST
nb452,2015 - 2016,1,GERM
sm808,2015 - 2016,1,RELG
lr400,2015 - 2016,1,CLAS
cs750,2015 - 2016,1,BIOL
jp819,2015 - 2016,1,THEA
rw512,2015 - 2016,1,ARTS
go622,2015 - 2016,1,PBSC
pf569,2015 - 2016,1,HIST
ss379,2015 - 2016,1,ENGL
hb922,2015 - 2016,1,BIOL
bp696,2015 - 2016,1,POSC
bk305,2015 - 2016,1,ENGL
jh839,2015 - 2016,1,BIOL
ab281,2015 - 2016,1,CHEM
jh865,2015 - 2016,1,BIOL
lc832,2015 - 2016,1,RMLL
rc357,2015 - 2016,1,SOAN
kg784,2015 - 2016,1,CLAS
ar262,2015 - 2016,1,POSC
ad122,2015 - 2016,1,ARTS
kb487,2015 - 2016,1,PHIL
jw191,2015 - 2016,1,HIST
me734,2015 - 2016,1,RELG
ck785,2015 - 2016,1,MATH
mm676,2015 - 2016,1,COSC
mr612,2015 - 2016,1,MUSI
at600,2015 - 2016,1,RMLL
nb934,2015 - 2016,1,POSC
cr414,2015 - 2016,1,ARTS
le496,2015 - 2016,1,GERM
pj186,2015 - 2016,1,PBSC
hh474,2015 - 2016,1,ENGL
sj441,2015 - 2016,1,SOAN
nd513,2015 - 2016,1,MATH
jc989,2015 - 2016,1,MUSI
bg441,2015 - 2016,1,PBSC
mm176,2015 - 2016,1,RELG
mt386,2015 - 2016,1,ENGL
km249,2015 - 2016,1,EDUC
sg562,2015 - 2016,1,RMLL
bw617,2015 - 2016,1,SOAN
mh538,2015 - 2016,1,SOAN
ss799,2015 - 2016,1,PBSC
cw316,2015 - 2016,1,SOAN
cb503,2015 - 2016,1,RMLL
ag448,2015 - 2016,1,MELL
jc931,2015 - 2016,1,RELG
rh556,2015 - 2016,1,RMLL
ct412,2015 - 2016,1,COSC
mb913,2015 - 2016,1,WRIT
js685,2015 - 2016,1,RELG
aj364,2015 - 2016,1,BIOL
cs225,2015 - 2016,1,POSC
js178,2015 - 2016,1,RMLL
jg337,2015 - 2016,1,PHIL
ac863,2015 - 2016,1,CHEM
cc360,2015 - 2016,1,PHAS
eo300,2015 - 2016,1,SOAN
js749,2015 - 2016,1,GERM
oc926,2015 - 2016,1,EEGS
jl298,2015 - 2016,1,ENST
cs742,2015 - 2016,1,EDUC
jw137,2015 - 2016,1,GERM
jc364,2015 - 2016,1,SOAN
sa664,2015 - 2016,1,POSC
tr554,2015 - 2016,1,ARTS
cg411,2015 - 2016,1,EEGS
ir414,2015 - 2016,1,SOAN
mh267,2015 - 2016,1,ARTS
lv758,2015 - 2016,1,ENGL
gw153,2015 - 2016,1,RELG
bc269,2015 - 2016,1,CLAS
jh986,2015 - 2016,1,EALL
ml383,2015 - 2016,1,CLAS
cc486,2015 - 2016,1,CLAS
sm847,2015 - 2016,1,HIST
kb853,2015 - 2016,1,POSC
rt674,2015 - 2016,1,SOAN
ag581,2015 - 2016,1,SOAN
ah396,2015 - 2016,1,THEA
ah448,2015 - 2016,1,RELG
jw446,2015 - 2016,1,ENGL
jd386,2015 - 2016,1,SOAN
cg313,2015 - 2016,1,ECON
tb932,2015 - 2016,1,SOAN
hh137,2015 - 2016,1,PHAS
ao256,2015 - 2016,1,PHAS
rs435,2015 - 2016,1,BIOL
kt696,2015 - 2016,1,ARTS
mj196,2015 - 2016,1,BIOL
dc271,2015 - 2016,1,CLAS
sm863,2015 - 2016,1,ARTS
jw119,2015 - 2016,1,ENGL
dg821,2015 - 2016,1,GERM
mm552,2015 - 2016,1,COSC
jb273,2015 - 2016,1,PBSC
jw810,2015 - 2016,1,THEA
sg116,2015 - 2016,1,BIOL
mp783,2015 - 2016,1,POSC
dn493,2015 - 2016,1,HIST
mp871,2015 - 2016,1,ENGL
js695,2015 - 2016,1,ECON
mw217,2015 - 2016,1,WRIT
sc991,2015 - 2016,1,ARTS
sa453,2015 - 2016,1,BIOL
ec762,2015 - 2016,1,MATH
ms271,2015 - 2016,1,ECON
bn453,2015 - 2016,1,RELG
mh738,2015 - 2016,1,EDUC
cw986,2015 - 2016,1,GERM
em726,2015 - 2016,1,MATH
kj622,2015 - 2016,1,CLAS
mm893,2015 - 2016,1,PHAS
tw173,2015 - 2016,1,CHEM
dw400,2015 - 2016,1,PHIL
br748,2015 - 2016,1,EDUC
td433,2015 - 2016,1,HIST
am649,2015 - 2016,1,ENGL
ks732,2015 - 2016,1,SOAN
ds181,2015 - 2016,1,HIST
kp756,2015 - 2016,1,GEOG
sb516,2015 - 2016,1,GEOG
dw658,2015 - 2016,1,ECON
rw612,2015 - 2016,1,EALL
pw206,2015 - 2016,1,ARTS
vh277,2015 - 2016,1,ECON
ag243,2015 - 2016,1,ENGL
pf653,2015 - 2016,1,THEA
vg473,2015 - 2016,1,EDUC
km191,2015 - 2016,1,ARTS
pn262,2015 - 2016,1,CLAS
sc475,2015 - 2016,1,CLAS
ab628,2015 - 2016,1,PBSC
kn329,2015 - 2016,1,SOAN
cb833,2015 - 2016,1,SOAN
ag165,2015 - 2016,1,ECON
mg872,2015 - 2016,1,SOAN
kw279,2015 - 2016,1,HIST
lh520,2015 - 2016,1,ARTS
jg542,2015 - 2016,1,ECON
mr412,2015 - 2016,1,MATH
vt789,2015 - 2016,1,RELG
ss552,2015 - 2016,1,EALL
tg955,2015 - 2016,1,MUSI
dk463,2015 - 2016,1,PHAS
ms198,2015 - 2016,1,EDUC
rc388,2015 - 2016,1,ENGL
tm444,2015 - 2016,1,BIOL
ej332,2015 - 2016,1,HIST
bb418,2015 - 2016,1,CLAS
st924,2015 - 2016,1,THEA
dl223,2015 - 2016,1,HIST
aw380,2015 - 2016,1,GERM
ed156,2015 - 2016,1,ENGL
ac401,2015 - 2016,1,POSC
rm697,2015 - 2016,1,SOAN
jb954,2015 - 2016,1,HIST
cg866,2015 - 2016,1,ENGL
eb293,2015 - 2016,1,COSC
mr649,2015 - 2016,1,POSC
ra931,2015 - 2016,1,ENGL
jj295,2015 - 2016,1,MATH
cb966,2015 - 2016,1,SOAN
rb657,2015 - 2016,1,EEGS
sm437,2015 - 2016,1,PBSC
jr474,2015 - 2016,1,ARTS
sc221,2015 - 2016,1,SOAN
gl959,2015 - 2016,1,SOAN
jk689,2015 - 2016,1,GEOG
mj629,2015 - 2016,1,RELG
gs841,2015 - 2016,1,POSC
jn458,2015 - 2016,1,ENGL
bl318,2015 - 2016,1,GEOG
ey681,2015 - 2016,1,EALL
ap725,2015 - 2016,1,MATH
jh319,2015 - 2016,1,POSC
sp392,2015 - 2016,1,RMLL
am248,2015 - 2016,1,EDUC
ml504,2015 - 2016,1,EALL
ne289,2015 - 2016,1,ECON
dk360,2015 - 2016,1,MATH
ts354,2015 - 2016,1,ARTS
md958,2015 - 2016,1,ENGL
pk443,2015 - 2016,1,MELL
cf762,2015 - 2016,1,POSC
bb715,2015 - 2016,1,COSC
ed250,2015 - 2016,1,HIST
kw208,2015 - 2016,1,ARTS
cs253,2015 - 2016,1,BIOL
hh394,2015 - 2016,1,WRIT
mp126,2015 - 2016,1,WRIT
tt373,2015 - 2016,1,POSC
dp865,2015 - 2016,1,PHAS
db800,2015 - 2016,1,ENGL
jh326,2015 - 2016,1,ARTS
tl464,2015 - 2016,1,COSC
tm266,2015 - 2016,1,ENGL
lm647,2015 - 2016,1,ARTS
ar975,2015 - 2016,1,ARTS
tv856,2015 - 2016,1,EEGS
mm213,2015 - 2016,1,HIST
ic699,2015 - 2016,1,MUSI
cr460,2015 - 2016,1,ENGL
sh156,2015 - 2016,1,SOAN
cp460,2015 - 2016,1,BIOL
sg748,2015 - 2016,1,PBSC
ak655,2015 - 2016,1,RMLL
lw883,2015 - 2016,1,SOAN
pj757,2015 - 2016,1,HIST
jg712,2015 - 2016,1,HIST
cb786,2015 - 2016,1,ECON
bw138,2015 - 2016,1,ECON
sb200,2015 - 2016,1,THEA
sr739,2015 - 2016,1,PBSC
as678,2015 - 2016,1,SOAN
ah557,2015 - 2016,1,EDUC
kc576,2015 - 2016,1,POSC
rg763,2015 - 2016,1,SOAN
jw400,2015 - 2016,1,RELG
so195,2015 - 2016,1,SOAN
wj792,2015 - 2016,1,THEA
jt830,2015 - 2016,1,SOAN
rb749,2015 - 2016,1,ENST
pb292,2015 - 2016,1,EEGS
jr189,2015 - 2016,1,CLAS
kn983,2015 - 2016,1,WRIT
ms154,2015 - 2016,1,ENGL
kj555,2015 - 2016,1,BIOL
as496,2015 - 2016,1,PBSC
tw507,2015 - 2016,1,COSC
nh429,2015 - 2016,1,HIST
cg230,2015 - 2016,1,POSC
