student_id,department,academic_year
rs692,ECON,2015 - 2016
jn852,GEOG,2015 - 2016
kw619,PBSC,2015 - 2016
jh659,ENGL,2015 - 2016
aj169,HIST,2015 - 2016
dl340,POSC,2015 - 2016
dm496,MUSI,2015 - 2016
kf161,COSC,2015 - 2016
mj596,PBSC,2015 - 2016
hs225,RMLL,2015 - 2016
kc696,RMLL,2015 - 2016
mj775,POSC,2015 - 2016
rm411,PBSC,2015 - 2016
sc152,POSC,2015 - 2016
bl514,HIST,2015 - 2016
mp867,ENGL,2015 - 2016
fh998,HIST,2015 - 2016
jm760,CHEM,2015 - 2016
la134,CLAS,2015 - 2016
hn130,ECON,2015 - 2016
tb423,ENGL,2015 - 2016
wf170,EALL,2015 - 2016
md126,EDUC,2015 - 2016
jr629,MUSI,2015 - 2016
df773,GERM,2015 - 2016
sp574,PHAS,2015 - 2016
km825,SOAN,2015 - 2016
rf389,MATH,2015 - 2016
cs895,HIST,2015 - 2016
jn575,CLAS,2015 - 2016
jn800,CHEM,2015 - 2016
ew562,ARTS,2015 - 2016
af489,ECON,2015 - 2016
jg124,ARTS,2015 - 2016
mp525,RELG,2015 - 2016
mm670,POSC,2015 - 2016
ed200,GEOG,2015 - 2016
mh878,CLAS,2015 - 2016
rs694,POSC,2015 - 2016
ad248,ENGL,2015 - 2016
jc324,BIOL,2015 - 2016
dg575,RELG,2015 - 2016
ma966,PHIL,2015 - 2016
ms363,MUSI,2015 - 2016
kh160,COSC,2015 - 2016
dh517,EDUC,2015 - 2016
mj653,COSC,2015 - 2016
yw637,SOAN,2015 - 2016
km430,ENGL,2015 - 2016
ad948,PHIL,2015 - 2016
mj476,ENST,2015 - 2016
ad817,PHIL,2015 - 2016
ms969,POSC,2015 - 2016
ag824,BIOL,2015 - 2016
tt876,ENGL,2015 - 2016
tw383,MUSI,2015 - 2016
sj935,ARTS,2015 - 2016
ma835,SOAN,2015 - 2016
df802,SOAN,2015 - 2016
wc274,THEA,2015 - 2016
dh607,GEOG,2015 - 2016
jh619,HIST,2015 - 2016
ab851,SOAN,2015 - 2016
mr162,PHIL,2015 - 2016
dw630,ARTS,2015 - 2016
ck231,PHAS,2015 - 2016
jb322,MATH,2015 - 2016
jm232,PHIL,2015 - 2016
th114,EDUC,2015 - 2016
ca846,RELG,2015 - 2016
aj521,HIST,2015 - 2016
jw937,ARTS,2015 - 2016
ch669,ARTS,2015 - 2016
ds936,SOAN,2015 - 2016
ka967,POSC,2015 - 2016
al644,HIST,2015 - 2016
ep799,BIOL,2015 - 2016
tb606,MATH,2015 - 2016
ss340,POSC,2015 - 2016
jm482,ENGL,2015 - 2016
ag163,COSC,2015 - 2016
jp930,CLAS,2015 - 2016
dm550,HIST,2015 - 2016
tr629,RELG,2015 - 2016
mh431,ARTS,2015 - 2016
rm612,POSC,2015 - 2016
jm577,GEOG,2015 - 2016
cb729,BIOL,2015 - 2016
mp269,MATH,2015 - 2016
va598,ENGL,2015 - 2016
ae938,ARTS,2015 - 2016
jm788,HIST,2015 - 2016
bb530,HIST,2015 - 2016
ww478,RELG,2015 - 2016
sk954,POSC,2015 - 2016
sj645,PBSC,2015 - 2016
cl677,ARTS,2015 - 2016
cs427,POSC,2015 - 2016
an505,RMLL,2015 - 2016
ws464,HIST,2015 - 2016
jb634,PBSC,2015 - 2016
ap692,PHAS,2015 - 2016
el626,ARTS,2015 - 2016
cn293,ENGL,2015 - 2016
ah425,EALL,2015 - 2016
pt299,HIST,2015 - 2016
sr802,SOAN,2015 - 2016
ss208,SOAN,2015 - 2016
pb126,BIOL,2015 - 2016
db109,HIST,2015 - 2016
cp902,HIST,2015 - 2016
bh509,ENGL,2015 - 2016
mt761,RELG,2015 - 2016
to318,EDUC,2015 - 2016
fw961,WRIT,2015 - 2016
rh913,RELG,2015 - 2016
tw604,POSC,2015 - 2016
lc489,EALL,2015 - 2016
ts563,HIST,2015 - 2016
jl955,BIOL,2015 - 2016
jw276,PHAS,2015 - 2016
ms352,GERM,2015 - 2016
bj884,EDUC,2015 - 2016
cw918,RELG,2015 - 2016
pc894,EDUC,2015 - 2016
ms261,EDUC,2015 - 2016
ks564,ENGL,2015 - 2016
hb677,HIST,2015 - 2016
jr182,RMLL,2015 - 2016
mg900,POSC,2015 - 2016
ss357,ENGL,2015 - 2016
np797,HIST,2015 - 2016
sd311,HIST,2015 - 2016
cm752,EDUC,2015 - 2016
dm867,RELG,2015 - 2016
rr564,EDUC,2015 - 2016
jh876,ENGL,2015 - 2016
mr388,PBSC,2015 - 2016
zc249,PBSC,2015 - 2016
ay719,PBSC,2015 - 2016
om507,PHIL,2015 - 2016
rb963,MATH,2015 - 2016
vl734,HIST,2015 - 2016
ws698,CLAS,2015 - 2016
bc197,PBSC,2015 - 2016
sb186,SOAN,2015 - 2016
jp431,POSC,2015 - 2016
cw423,ENGL,2015 - 2016
br175,COSC,2015 - 2016
sm373,HIST,2015 - 2016
sb546,ECON,2015 - 2016
lk593,ENGL,2015 - 2016
at586,GEOG,2015 - 2016
eb879,PBSC,2015 - 2016
jk195,COSC,2015 - 2016
sd470,PBSC,2015 - 2016
km261,ARTS,2015 - 2016
mt103,ARTS,2015 - 2016
jb783,ARTS,2015 - 2016
kh631,CLAS,2015 - 2016
nf271,ECON,2015 - 2016
jb940,ECON,2015 - 2016
jg259,ENGL,2015 - 2016
mw276,GEOG,2015 - 2016
dg310,THEA,2015 - 2016
jw657,BIOL,2015 - 2016
cb350,ARTS,2015 - 2016
hd118,POSC,2015 - 2016
bd881,RELG,2015 - 2016
db270,ENGL,2015 - 2016
mr286,HIST,2015 - 2016
rw332,ARTS,2015 - 2016
db945,MATH,2015 - 2016
eh357,SOAN,2015 - 2016
ko110,COSC,2015 - 2016
cc197,HIST,2015 - 2016
ag989,HIST,2015 - 2016
ec122,GERM,2015 - 2016
cr678,HIST,2015 - 2016
sh130,ENGL,2015 - 2016
lb617,EALL,2015 - 2016
jg674,PHAS,2015 - 2016
ch448,HIST,2015 - 2016
jl132,SOAN,2015 - 2016
eb716,BIOL,2015 - 2016
kn117,COSC,2015 - 2016
km868,SOAN,2015 - 2016
br754,PHAS,2015 - 2016
as679,ARTS,2015 - 2016
mw161,RMLL,2015 - 2016
sf898,RELG,2015 - 2016
vb393,EALL,2015 - 2016
jp554,ARTS,2015 - 2016
sl172,BIOL,2015 - 2016
lr276,EEGS,2015 - 2016
sr524,CLAS,2015 - 2016
ce221,ENGL,2015 - 2016
ad219,MUSI,2015 - 2016
mc728,EEGS,2015 - 2016
rc602,PHAS,2015 - 2016
rw553,BIOL,2015 - 2016
bl798,MUSI,2015 - 2016
dm335,HIST,2015 - 2016
dk697,GEOG,2015 - 2016
kh635,RMLL,2015 - 2016
lp218,EALL,2015 - 2016
cy844,ENGL,2015 - 2016
mp108,BIOL,2015 - 2016
rs816,SOAN,2015 - 2016
cs846,EDUC,2015 - 2016
gj214,RMLL,2015 - 2016
wh936,MUSI,2015 - 2016
jr443,POSC,2015 - 2016
so124,GERM,2015 - 2016
jj716,GERM,2015 - 2016
mw577,POSC,2015 - 2016
hg496,PBSC,2015 - 2016
cd964,ARTS,2015 - 2016
cn951,RELG,2015 - 2016
mw799,PBSC,2015 - 2016
bb966,BIOL,2015 - 2016
tc441,PHAS,2015 - 2016
sb229,PBSC,2015 - 2016
eb711,EDUC,2015 - 2016
jt344,WRIT,2015 - 2016
cr902,MATH,2015 - 2016
ky582,SOAN,2015 - 2016
nr268,ECON,2015 - 2016
cg921,ECON,2015 - 2016
rr817,SOAN,2015 - 2016
sh123,RELG,2015 - 2016
ss259,PBSC,2015 - 2016
jh172,POSC,2015 - 2016
dh800,EALL,2015 - 2016
rr839,SOAN,2015 - 2016
cg864,EDUC,2015 - 2016
tw165,PBSC,2015 - 2016
ef981,SOAN,2015 - 2016
as348,GERM,2015 - 2016
sn578,ARTS,2015 - 2016
sv854,ENST,2015 - 2016
df419,ECON,2015 - 2016
ap644,ECON,2015 - 2016
ar304,RMLL,2015 - 2016
kd684,ENGL,2015 - 2016
tw814,ENGL,2015 - 2016
ac719,POSC,2015 - 2016
mr213,BIOL,2015 - 2016
ss460,PBSC,2015 - 2016
es328,EEGS,2015 - 2016
lr440,CLAS,2015 - 2016
tn694,PBSC,2015 - 2016
lw999,ENGL,2015 - 2016
lb848,COSC,2015 - 2016
am150,PHAS,2015 - 2016
vc756,GEOG,2015 - 2016
jc782,CHEM,2015 - 2016
rm242,PHIL,2015 - 2016
rg186,SOAN,2015 - 2016
ww329,PHIL,2015 - 2016
sr655,COSC,2015 - 2016
rr133,PBSC,2015 - 2016
ml877,RMLL,2015 - 2016
mb573,WRIT,2015 - 2016
ds308,HIST,2015 - 2016
ks493,EDUC,2015 - 2016
jm101,CLAS,2015 - 2016
ng629,RMLL,2015 - 2016
jk230,COSC,2015 - 2016
co149,HIST,2015 - 2016
mv625,ENGL,2015 - 2016
rw527,ARTS,2015 - 2016
jn991,CHEM,2015 - 2016
mg846,EDUC,2015 - 2016
aw388,HIST,2015 - 2016
tm100,PHIL,2015 - 2016
mn799,PHIL,2015 - 2016
rh326,POSC,2015 - 2016
bb244,ENGL,2015 - 2016
rb849,ECON,2015 - 2016
kg869,ENGL,2015 - 2016
ds149,COSC,2015 - 2016
ks737,ECON,2015 - 2016
mc215,PBSC,2015 - 2016
mw942,GEOG,2015 - 2016
ch813,ENGL,2015 - 2016
cb790,THEA,2015 - 2016
ap328,SOAN,2015 - 2016
lw698,CLAS,2015 - 2016
dv955,RMLL,2015 - 2016
ws548,COSC,2015 - 2016
gm684,RELG,2015 - 2016
bb253,HIST,2015 - 2016
jz584,SOAN,2015 - 2016
ml686,WRIT,2015 - 2016
jh238,EEGS,2015 - 2016
ct632,PHAS,2015 - 2016
dm868,RMLL,2015 - 2016
pb719,GEOG,2015 - 2016
jr180,HIST,2015 - 2016
jt499,ARTS,2015 - 2016
kp466,EALL,2015 - 2016
dy966,BIOL,2015 - 2016
ac836,POSC,2015 - 2016
kj778,EDUC,2015 - 2016
po774,ENGL,2015 - 2016
js736,EDUC,2015 - 2016
ts305,ENGL,2015 - 2016
lc935,PHIL,2015 - 2016
jj308,ARTS,2015 - 2016
mt844,HIST,2015 - 2016
cj374,BIOL,2015 - 2016
mc611,POSC,2015 - 2016
cw269,PBSC,2015 - 2016
sv100,CLAS,2015 - 2016
et387,EEGS,2015 - 2016
mb634,SOAN,2015 - 2016
vn393,ECON,2015 - 2016
ah921,WRIT,2015 - 2016
kh846,ENGL,2015 - 2016
lb884,PHAS,2015 - 2016
bj291,COSC,2015 - 2016
la590,MATH,2015 - 2016
jb337,COSC,2015 - 2016
ma259,ARTS,2015 - 2016
bs685,PHAS,2015 - 2016
kh758,ENGL,2015 - 2016
cl759,EDUC,2015 - 2016
cm271,MUSI,2015 - 2016
mw360,SOAN,2015 - 2016
mn146,RMLL,2015 - 2016
am602,ENGL,2015 - 2016
ss982,CLAS,2015 - 2016
es647,BIOL,2015 - 2016
mw470,HIST,2015 - 2016
jb617,MATH,2015 - 2016
re246,MATH,2015 - 2016
ks150,SOAN,2015 - 2016
ds785,RELG,2015 - 2016
at808,PHAS,2015 - 2016
ss212,PBSC,2015 - 2016
js237,ENGL,2015 - 2016
es393,HIST,2015 - 2016
th942,HIST,2015 - 2016
sn762,PHAS,2015 - 2016
kf720,PBSC,2015 - 2016
ac208,EEGS,2015 - 2016
mw730,EDUC,2015 - 2016
hh296,EEGS,2015 - 2016
kc685,COSC,2015 - 2016
sr942,EDUC,2015 - 2016
cw373,THEA,2015 - 2016
jw988,CLAS,2015 - 2016
cn704,PBSC,2015 - 2016
tm443,HIST,2015 - 2016
sw937,HIST,2015 - 2016
ha286,BIOL,2015 - 2016
an475,GEOG,2015 - 2016
ev932,ARTS,2015 - 2016
md249,ENGL,2015 - 2016
js251,PHAS,2015 - 2016
cn472,PBSC,2015 - 2016
cb592,POSC,2015 - 2016
sp630,SOAN,2015 - 2016
ch671,EEGS,2015 - 2016
jv660,SOAN,2015 - 2016
nf974,ECON,2015 - 2016
kr814,ENGL,2015 - 2016
nf344,PHIL,2015 - 2016
mh316,HIST,2015 - 2016
cc414,RMLL,2015 - 2016
cw407,ENGL,2015 - 2016
cw258,ECON,2015 - 2016
cs503,ARTS,2015 - 2016
kl944,RMLL,2015 - 2016
pw814,ENGL,2015 - 2016
jh703,PHAS,2015 - 2016
sm921,BIOL,2015 - 2016
ta956,EEGS,2015 - 2016
sm317,ENST,2015 - 2016
jl260,THEA,2015 - 2016
vr336,ENGL,2015 - 2016
aj189,POSC,2015 - 2016
cm491,ENGL,2015 - 2016
te353,MUSI,2015 - 2016
em223,RMLL,2015 - 2016
ac238,MUSI,2015 - 2016
ls254,RMLL,2015 - 2016
dh190,ENGL,2015 - 2016
ac512,HIST,2015 - 2016
ca116,BIOL,2015 - 2016
an788,THEA,2015 - 2016
vc327,PBSC,2015 - 2016
dg828,EEGS,2015 - 2016
rc328,PBSC,2015 - 2016
jg277,ARTS,2015 - 2016
dj991,RELG,2015 - 2016
cr748,EEGS,2015 - 2016
ld885,EDUC,2015 - 2016
ss322,POSC,2015 - 2016
lr352,POSC,2015 - 2016
bb369,SOAN,2015 - 2016
lw727,POSC,2015 - 2016
bg521,GEOG,2015 - 2016
jc527,MUSI,2015 - 2016
hm743,SOAN,2015 - 2016
ef113,SOAN,2015 - 2016
js313,ECON,2015 - 2016
ta777,GERM,2015 - 2016
th966,CHEM,2015 - 2016
cg192,RMLL,2015 - 2016
ac934,COSC,2015 - 2016
ec230,GEOG,2015 - 2016
em566,HIST,2015 - 2016
rm859,PHAS,2015 - 2016
sm171,EALL,2015 - 2016
mw527,GERM,2015 - 2016
vh161,PBSC,2015 - 2016
ma103,GERM,2015 - 2016
gh333,PBSC,2015 - 2016
aw659,MUSI,2015 - 2016
ew307,CHEM,2015 - 2016
at404,EDUC,2015 - 2016
bn505,SOAN,2015 - 2016
pr129,BIOL,2015 - 2016
jm261,MELL,2015 - 2016
sw335,POSC,2015 - 2016
bw344,MATH,2015 - 2016
em780,CHEM,2015 - 2016
dd372,PBSC,2015 - 2016
jh357,ARTS,2015 - 2016
jr350,EDUC,2015 - 2016
sd774,ENGL,2015 - 2016
mt842,SOAN,2015 - 2016
rd493,CHEM,2015 - 2016
mb624,ARTS,2015 - 2016
cm486,PBSC,2015 - 2016
jd476,GERM,2015 - 2016
kh304,SOAN,2015 - 2016
jo989,PHIL,2015 - 2016
lh405,ARTS,2015 - 2016
ka650,PBSC,2015 - 2016
bm529,HIST,2015 - 2016
kt473,POSC,2015 - 2016
ca432,ECON,2015 - 2016
cr960,PHAS,2015 - 2016
cw305,ARTS,2015 - 2016
kg867,COSC,2015 - 2016
wr197,PBSC,2015 - 2016
pr310,ENGL,2015 - 2016
rd944,HIST,2015 - 2016
ce725,WRIT,2015 - 2016
kb325,RMLL,2015 - 2016
mw949,HIST,2015 - 2016
ta411,ECON,2015 - 2016
js645,GEOG,2015 - 2016
af747,MATH,2015 - 2016
tv268,ENGL,2015 - 2016
ib998,PHIL,2015 - 2016
jc299,HIST,2015 - 2016
cr896,MUSI,2015 - 2016
cj364,SOAN,2015 - 2016
ar727,RELG,2015 - 2016
lt112,THEA,2015 - 2016
kg885,SOAN,2015 - 2016
nb309,PHIL,2015 - 2016
tm191,EALL,2015 - 2016
cd460,BIOL,2015 - 2016
as378,SOAN,2015 - 2016
cr639,PHIL,2015 - 2016
mc178,ARTS,2015 - 2016
sg809,POSC,2015 - 2016
ke842,RELG,2015 - 2016
cj208,BIOL,2015 - 2016
pc491,ENGL,2015 - 2016
lm362,ENGL,2015 - 2016
cg982,RMLL,2015 - 2016
st678,EDUC,2015 - 2016
jv201,ARTS,2015 - 2016
es961,EEGS,2015 - 2016
jg457,POSC,2015 - 2016
wb579,RELG,2015 - 2016
af492,WRIT,2015 - 2016
dm128,COSC,2015 - 2016
tg401,THEA,2015 - 2016
em882,COSC,2015 - 2016
lw995,ARTS,2015 - 2016
kh948,THEA,2015 - 2016
mr428,THEA,2015 - 2016
kt213,BIOL,2015 - 2016
kh528,EDUC,2015 - 2016
kk195,RELG,2015 - 2016
kg206,POSC,2015 - 2016
ms816,GEOG,2015 - 2016
jb176,SOAN,2015 - 2016
av587,WRIT,2015 - 2016
er998,BIOL,2015 - 2016
ss986,ARTS,2015 - 2016
ag641,ARTS,2015 - 2016
gc484,RELG,2015 - 2016
jl745,EEGS,2015 - 2016
js394,ENGL,2015 - 2016
aw787,MELL,2015 - 2016
wt744,PHAS,2015 - 2016
ja733,CHEM,2015 - 2016
km169,RELG,2015 - 2016
ml272,ENGL,2015 - 2016
kr746,PBSC,2015 - 2016
cs394,WRIT,2015 - 2016
da422,RELG,2015 - 2016
sr586,EEGS,2015 - 2016
rw699,PHIL,2015 - 2016
sj795,ENGL,2015 - 2016
km457,COSC,2015 - 2016
aw287,RELG,2015 - 2016
rg905,SOAN,2015 - 2016
mr755,ENGL,2015 - 2016
dm421,EDUC,2015 - 2016
ad750,PBSC,2015 - 2016
sm161,COSC,2015 - 2016
rm568,CLAS,2015 - 2016
cw914,BIOL,2015 - 2016
pp166,GEOG,2015 - 2016
cc458,MUSI,2015 - 2016
ac504,MATH,2015 - 2016
lh695,PHAS,2015 - 2016
md495,ARTS,2015 - 2016
cj175,ENGL,2015 - 2016
jh899,HIST,2015 - 2016
bh265,POSC,2015 - 2016
jr666,EALL,2015 - 2016
sf582,POSC,2015 - 2016
sm829,HIST,2015 - 2016
gc221,BIOL,2015 - 2016
cs599,CHEM,2015 - 2016
la239,THEA,2015 - 2016
ar807,PBSC,2015 - 2016
mm645,POSC,2015 - 2016
nc539,CLAS,2015 - 2016
ks218,CHEM,2015 - 2016
cs902,RELG,2015 - 2016
sb543,POSC,2015 - 2016
cs686,HIST,2015 - 2016
kl860,POSC,2015 - 2016
tf918,SOAN,2015 - 2016
ca917,POSC,2015 - 2016
jh292,MATH,2015 - 2016
bv723,ARTS,2015 - 2016
am564,ARTS,2015 - 2016
jb959,ENGL,2015 - 2016
cj200,HIST,2015 - 2016
pr198,HIST,2015 - 2016
lc973,ENGL,2015 - 2016
mr804,HIST,2015 - 2016
db828,ECON,2015 - 2016
pj180,ENGL,2015 - 2016
to121,CLAS,2015 - 2016
kb686,POSC,2015 - 2016
hr319,ENST,2015 - 2016
mh779,SOAN,2015 - 2016
ao983,ENGL,2015 - 2016
rk567,WRIT,2015 - 2016
gm500,HIST,2015 - 2016
mc590,BIOL,2015 - 2016
cs702,BIOL,2015 - 2016
mw727,PBSC,2015 - 2016
js174,RMLL,2015 - 2016
dh214,PHIL,2015 - 2016
bm988,MATH,2015 - 2016
pb396,SOAN,2015 - 2016
at897,EEGS,2015 - 2016
al393,HIST,2015 - 2016
ks446,HIST,2015 - 2016
as433,POSC,2015 - 2016
jc551,ARTS,2015 - 2016
mf619,RELG,2015 - 2016
ah570,THEA,2015 - 2016
hh329,RMLL,2015 - 2016
jf177,SOAN,2015 - 2016
jt276,EEGS,2015 - 2016
sf314,PBSC,2015 - 2016
mb969,BIOL,2015 - 2016
kp245,ECON,2015 - 2016
ja995,PHIL,2015 - 2016
kp382,ARTS,2015 - 2016
mf729,CLAS,2015 - 2016
ms923,EDUC,2015 - 2016
mw200,ENST,2015 - 2016
da519,HIST,2015 - 2016
aj259,POSC,2015 - 2016
dv803,BIOL,2015 - 2016
rb838,EEGS,2015 - 2016
dh202,RMLL,2015 - 2016
rs286,CLAS,2015 - 2016
bb539,BIOL,2015 - 2016
jh990,SOAN,2015 - 2016
kw509,PBSC,2015 - 2016
am198,PBSC,2015 - 2016
ar989,ARTS,2015 - 2016
jd929,PBSC,2015 - 2016
at146,ECON,2015 - 2016
kh698,SOAN,2015 - 2016
cr667,EALL,2015 - 2016
tz859,SOAN,2015 - 2016
jb489,PBSC,2015 - 2016
jr303,THEA,2015 - 2016
mr553,COSC,2015 - 2016
mh775,EDUC,2015 - 2016
mn361,ECON,2015 - 2016
kb591,SOAN,2015 - 2016
tp743,RELG,2015 - 2016
cj194,PHIL,2015 - 2016
jr805,RELG,2015 - 2016
jh849,ARTS,2015 - 2016
ah552,ARTS,2015 - 2016
kg298,THEA,2015 - 2016
tp575,BIOL,2015 - 2016
am538,GEOG,2015 - 2016
jr329,HIST,2015 - 2016
gb618,HIST,2015 - 2016
jf322,PHAS,2015 - 2016
lf551,POSC,2015 - 2016
ca391,EEGS,2015 - 2016
ch461,GEOG,2015 - 2016
ke230,ENGL,2015 - 2016
sm732,SOAN,2015 - 2016
rb994,ENST,2015 - 2016
mh463,PBSC,2015 - 2016
am515,ENGL,2015 - 2016
zp441,POSC,2015 - 2016
lc983,PBSC,2015 - 2016
ad331,PHAS,2015 - 2016
ef621,MELL,2015 - 2016
ea433,HIST,2015 - 2016
sh414,ENGL,2015 - 2016
sw232,GERM,2015 - 2016
hh897,PBSC,2015 - 2016
sa981,ENGL,2015 - 2016
sm227,ENGL,2015 - 2016
ae259,ENGL,2015 - 2016
ag668,RMLL,2015 - 2016
ap995,SOAN,2015 - 2016
cl272,SOAN,2015 - 2016
rp242,RMLL,2015 - 2016
mj425,ARTS,2015 - 2016
lm552,PBSC,2015 - 2016
as724,HIST,2015 - 2016
sc965,PBSC,2015 - 2016
kr240,WRIT,2015 - 2016
dp283,HIST,2015 - 2016
cj729,PHAS,2015 - 2016
dj835,ECON,2015 - 2016
jm681,BIOL,2015 - 2016
rw695,ENGL,2015 - 2016
rn412,BIOL,2015 - 2016
al520,ARTS,2015 - 2016
cp908,ARTS,2015 - 2016
jm983,ENGL,2015 - 2016
js135,ENGL,2015 - 2016
as842,PHAS,2015 - 2016
mb239,ARTS,2015 - 2016
cp937,HIST,2015 - 2016
jh152,EALL,2015 - 2016
jb165,ENGL,2015 - 2016
mc768,MATH,2015 - 2016
kb578,ENGL,2015 - 2016
eb252,POSC,2015 - 2016
rj285,HIST,2015 - 2016
ln174,PHIL,2015 - 2016
rb442,CLAS,2015 - 2016
bw932,BIOL,2015 - 2016
jw287,EDUC,2015 - 2016
nj948,CLAS,2015 - 2016
ss371,CHEM,2015 - 2016
js296,EDUC,2015 - 2016
rp784,ENGL,2015 - 2016
kb881,CHEM,2015 - 2016
tt127,ARTS,2015 - 2016
cc121,PBSC,2015 - 2016
mf297,POSC,2015 - 2016
sf967,ARTS,2015 - 2016
sm929,GERM,2015 - 2016
ac833,POSC,2015 - 2016
ck395,ENGL,2015 - 2016
af852,ECON,2015 - 2016
